parents_id;partners_id;groom;father;bride;mother;distance;length partners;length parents;years_between
70894;55213;331278;425368;331281;425369;2;34;36;26
26420;28448;170688;158524;170691;158525;1;33;33;22
30587;88790;532740;183526;532743;183527;2;42;44;24
100237;49167;295002;601423;295005;601424;1;38;39;22
68553;20596;123576;411319;123579;411320;3;36;34;25
15584;11665;69990;93508;69993;93509;1;38;39;25
6610;26492;158952;39664;158955;39665;0;37;37;24
14792;91911;551466;88756;551469;88757;2;36;36;23
90217;14968;89808;541306;89811;541307;1;33;32;23
94901;90557;543342;569410;543345;569411;0;36;36;25
12785;118;708;76711;711;76712;1;33;33;27
10836;90557;543342;65020;543345;65021;0;36;36;25
33281;52173;313038;199687;313041;199688;3;38;37;25
26956;74113;444678;161740;444681;161741;0;41;41;24
50543;77557;465342;303262;465345;303263;0;30;30;24
29085;21719;130314;174514;130317;174515;2;34;34;22
86277;56224;337344;517663;337347;517664;0;30;30;26
3532;33164;198984;21193;198987;21194;0;30;30;24
80387;81342;488052;482326;488055;482327;0;30;30;23
21603;29028;174168;129622;174171;129623;0;35;35;25
85761;57169;343014;514570;343017;514571;2;35;37;25
12228;48861;293166;73372;293169;73373;3;35;33;27
12228;84773;508638;73372;508641;73373;3;35;33;27
15848;56511;339066;95092;339069;95093;2;41;41;26
35569;42449;254694;213418;254697;213419;2;36;35;26
71203;42474;254844;427222;254847;427223;0;33;33;24
11344;37185;223110;68068;223113;68069;0;32;32;23
36655;21034;126204;219931;126207;219932;0;41;41;27
27485;65264;391584;164914;391587;164915;1;35;34;24
76440;10664;63984;458641;63987;458642;3;42;41;26
69197;74181;445086;415186;445089;415187;0;30;30;24
88021;41094;246564;528127;246567;528128;3;32;30;24
88021;84445;506670;528130;506673;528131;1;28;28;21
21189;71176;427056;127138;427059;127139;1;37;37;22
31205;39881;239286;187234;239289;187235;0;35;35;22
88270;15150;90900;529621;90903;529622;2;34;35;26
73968;21041;126246;443812;126249;443813;1;34;35;18
30515;56011;336066;183094;336069;183095;0;23;23;26
97329;100637;603822;583978;603825;583979;0;34;34;24
99649;53574;321444;597898;321447;597899;1;40;39;24
99649;35944;215664;597895;215667;597896;0;39;39;22
11399;94109;564654;68398;564657;68399;0;35;35;27
97327;13769;82614;583966;82617;583967;2;33;33;24
27643;12079;72474;165862;72477;165863;3;51;52;22
9614;78058;468348;57685;468351;57686;1;21;22;25
72543;62028;372168;435262;372171;435263;0;57;57;22
37424;14787;88722;224548;88725;224549;2;41;42;25
46389;42025;252150;278338;252153;278339;2;29;29;25
5460;42510;255060;32761;255063;32762;0;40;40;25
27392;79282;475692;164353;475695;164354;0;28;28;24
27392;68369;410214;164356;410217;164357;0;25;25;24
92753;40688;244128;556522;244131;556523;3;21;21;16
15876;79705;478230;95260;478233;95261;1;28;28;20
19527;40771;244626;117166;244629;117167;0;39;39;23
52119;20272;121632;312715;121635;312716;0;34;34;24
28605;57259;343554;171634;343557;171635;0;38;38;19
33813;88335;530010;202879;530013;202880;1;33;32;24
80129;23900;143400;480778;143403;480779;0;62;62;25
42382;19162;114972;254296;114975;254297;1;34;35;27
91228;51066;306396;547369;306399;547370;0;44;44;23
50565;96297;577782;303391;577785;303392;2;32;32;25
70582;35944;215664;423496;215667;423497;0;39;39;22
39240;35926;215556;235441;215559;235442;0;22;22;24
81215;78881;473286;487294;473289;487295;0;40;40;26
81215;43497;260982;487291;260985;487292;0;29;29;21
86465;33440;200640;518791;200643;518792;0;33;33;27
20065;72105;432630;120394;432633;120395;3;41;42;16
23095;12438;74628;138574;74631;138575;1;49;48;25
