id_certificate_parents,id_certificate_partners,family_line,levenshtein_total_bride,levenshtein_max_bride,levenshtein_total_groom,levenshtein_max_groom,matched_names_bride,number_names_mother,number_names_bride,matched_names_groom,number_names_father,number_names_groom,year_diff
100160,80014,22,0,0,0,0,2,2,2,1,1,1,33
100161,91137,22,0,0,0,0,1,1,1,1,1,1,29
100162,96347,21,0,0,0,0,2,2,2,1,1,1,20
100162,13083,22,0,0,0,0,1,1,1,2,2,2,35
100163,30384,21,0,0,0,0,2,2,2,1,1,1,36
100163,82116,22,0,0,0,0,2,2,2,1,1,1,24
100164,53448,22,0,0,0,0,1,1,1,1,1,1,28
100167,29244,21,0,0,0,0,1,1,1,1,1,1,28
100167,96306,22,0,0,0,0,1,1,1,1,1,1,30
100168,18005,21,0,0,1,1,1,1,1,2,2,2,29
100168,83488,22,0,0,0,0,1,1,1,1,1,1,33
100169,29697,21,0,0,0,0,2,2,2,1,1,1,32
100169,85795,22,0,0,0,0,1,1,1,1,1,1,48
10017,12535,21,0,0,0,0,2,2,2,1,1,1,40
100170,98815,21,0,0,0,0,1,1,1,1,1,1,38
100170,88158,22,0,0,0,0,3,3,3,1,1,1,38
100171,80663,21,0,0,0,0,1,1,1,1,1,1,47
100171,26430,22,0,0,0,0,2,2,2,2,2,2,25
100172,48054,21,0,0,0,0,1,1,1,1,1,1,37
100172,8204,22,0,0,0,0,1,1,1,1,1,1,29
100173,93432,22,0,0,0,0,2,2,2,1,1,1,32
100175,16698,21,0,0,0,0,2,2,2,1,1,1,30
100176,36531,21,0,0,0,0,1,1,1,1,1,1,24
100177,86510,21,0,0,0,0,2,2,2,1,1,1,51
100177,22618,22,0,0,0,0,1,1,2,1,1,1,54
100178,16671,21,0,0,0,0,1,1,1,1,1,1,31
100178,13770,22,1,0,0,0,1,1,1,1,2,1,42
100179,86812,21,0,0,0,0,2,2,2,1,1,1,36
100179,98922,22,1,1,0,0,2,2,2,1,1,1,28
10018,12830,21,0,0,0,0,2,2,2,1,1,1,39
100182,66861,22,0,0,0,0,2,2,2,2,2,2,48
100183,81885,21,0,0,0,0,1,1,1,1,1,1,40
100183,91233,22,1,1,0,0,2,2,2,1,3,1,31
100185,28175,21,0,0,0,0,1,1,1,1,1,1,25
100185,28470,22,0,0,0,0,2,2,2,1,1,1,24
100187,60698,21,0,0,0,0,1,1,1,1,1,1,26
100188,52948,21,0,0,0,0,2,2,2,2,2,2,51
10019,58236,21,0,0,0,0,2,2,2,2,2,2,29
10019,51011,22,0,0,1,0,2,2,2,1,1,1,29
