"type";"man_id";"woman_id";"child_id";"exception"
3;47710;47711;47709.0;"'NoneType' object is not subscriptable"
2;48109;48110;48108.0;"'NoneType' object is not subscriptable"
3;48262;48263;48261.0;"'NoneType' object is not subscriptable"
2;48691;48692;48690.0;"'NoneType' object is not subscriptable"
3;48718;48719;48717.0;"'NoneType' object is not subscriptable"
2;48835;48836;48834.0;"'NoneType' object is not subscriptable"
3;49450;49451;49449.0;"'NoneType' object is not subscriptable"
3;49582;49583;49581.0;"'NoneType' object is not subscriptable"
3;49738;49739;49737.0;"'NoneType' object is not subscriptable"
3;50002;50003;50001.0;"'NoneType' object is not subscriptable"
2;51295;51296;51294.0;"'NoneType' object is not subscriptable"
3;51454;51455;51453.0;"'NoneType' object is not subscriptable"
3;51496;51497;51495.0;"'NoneType' object is not subscriptable"
3;51766;51767;51765.0;"'NoneType' object is not subscriptable"
2;51811;51812;51810.0;"'NoneType' object is not subscriptable"
3;51814;51815;51813.0;"'NoneType' object is not subscriptable"
3;52000;52001;51999.0;"'NoneType' object is not subscriptable"
3;52090;52091;52089.0;"'NoneType' object is not subscriptable"
3;52138;52139;52137.0;"'NoneType' object is not subscriptable"
2;53821;53822;53820.0;"'NoneType' object is not subscriptable"
2;53881;53882;53880.0;"'NoneType' object is not subscriptable"
3;53884;53885;53883.0;"'NoneType' object is not subscriptable"
3;54070;54071;54069.0;"'NoneType' object is not subscriptable"
2;54379;54380;54378.0;"'NoneType' object is not subscriptable"
2;54667;54668;54666.0;"'NoneType' object is not subscriptable"
2;54865;54866;54864.0;"'NoneType' object is not subscriptable"
2;54895;54896;54894.0;"'NoneType' object is not subscriptable"
3;54898;54899;54897.0;"'NoneType' object is not subscriptable"
3;55162;55163;55161.0;"'NoneType' object is not subscriptable"
3;55252;55253;55251.0;"'NoneType' object is not subscriptable"
3;55450;55451;55449.0;"'NoneType' object is not subscriptable"
2;55489;55490;55488.0;"'NoneType' object is not subscriptable"
3;55594;55595;55593.0;"string index out of range"
2;55633;55634;55632.0;"'NoneType' object is not subscriptable"
2;56491;56492;56490.0;"'NoneType' object is not subscriptable"
3;56494;56495;56493.0;"'NoneType' object is not subscriptable"
3;56716;56717;56715.0;"'NoneType' object is not subscriptable"
2;56791;56792;56790.0;"'NoneType' object is not subscriptable"
3;57406;57407;57405.0;"'NoneType' object is not subscriptable"
2;57607;57608;57606.0;"'NoneType' object is not subscriptable"
3;57610;57611;57609.0;"'NoneType' object is not subscriptable"
3;57658;57659;57657.0;"'NoneType' object is not subscriptable"
2;57949;57950;57948.0;"'NoneType' object is not subscriptable"
3;57952;57953;57951.0;"'NoneType' object is not subscriptable"
2;58945;58946;58944.0;"'NoneType' object is not subscriptable"
2;59383;59384;59382.0;"'NoneType' object is not subscriptable"
3;59386;59387;59385.0;"'NoneType' object is not subscriptable"
3;60004;60005;60003.0;"'NoneType' object is not subscriptable"
3;60124;60125;60123.0;"'NoneType' object is not subscriptable"
3;60598;60599;60597.0;"'NoneType' object is not subscriptable"
2;60673;60674;60672.0;"'NoneType' object is not subscriptable"
2;60739;60740;60738.0;"'NoneType' object is not subscriptable"
3;60742;60743;60741.0;"'NoneType' object is not subscriptable"
3;60814;60815;60813.0;"'NoneType' object is not subscriptable"
2;60835;60836;60834.0;"'NoneType' object is not subscriptable"
2;61117;61118;61116.0;"'NoneType' object is not subscriptable"
3;61390;61391;61389.0;"'NoneType' object is not subscriptable"
2;61429;61430;61428.0;"'NoneType' object is not subscriptable"
3;61504;61505;61503.0;"'NoneType' object is not subscriptable"
3;61810;61811;61809.0;"'NoneType' object is not subscriptable"
2;62035;62036;62034.0;"'NoneType' object is not subscriptable"
3;62038;62039;62037.0;"'NoneType' object is not subscriptable"
2;62425;62426;62424.0;"'NoneType' object is not subscriptable"
3;62926;62927;62925.0;"'NoneType' object is not subscriptable"
2;63145;63146;63144.0;"'NoneType' object is not subscriptable"
2;63391;63392;63390.0;"'NoneType' object is not subscriptable"
3;63394;63395;63393.0;"'NoneType' object is not subscriptable"
2;64333;64334;64332.0;"'NoneType' object is not subscriptable"
2;64507;64508;64506.0;"'NoneType' object is not subscriptable"
2;65005;65006;65004.0;"'NoneType' object is not subscriptable"
2;65455;65456;65454.0;"'NoneType' object is not subscriptable"
3;65458;65459;65457.0;"'NoneType' object is not subscriptable"
2;65719;65720;65718.0;"'NoneType' object is not subscriptable"
3;66076;66077;66075.0;"'NoneType' object is not subscriptable"
2;66091;66092;66090.0;"'NoneType' object is not subscriptable"
2;66169;66170;66168.0;"'NoneType' object is not subscriptable"
3;66172;66173;66171.0;"'NoneType' object is not subscriptable"
2;66397;66398;66396.0;"'NoneType' object is not subscriptable"
2;66553;66554;66552.0;"'NoneType' object is not subscriptable"
3;66556;66557;66555.0;"'NoneType' object is not subscriptable"
3;66568;66569;66567.0;"'NoneType' object is not subscriptable"
3;66718;66719;66717.0;"'NoneType' object is not subscriptable"
3;66820;66821;66819.0;"'NoneType' object is not subscriptable"
1;66882;66885;"";"'NoneType' object is not subscriptable"
2;66883;66884;66882.0;"'NoneType' object is not subscriptable"
3;66886;66887;66885.0;"'NoneType' object is not subscriptable"
2;67021;67022;67020.0;"'NoneType' object is not subscriptable"
3;67024;67025;67023.0;"'NoneType' object is not subscriptable"
2;67051;67052;67050.0;"'NoneType' object is not subscriptable"
3;67744;67745;67743.0;"'NoneType' object is not subscriptable"
2;67819;67820;67818.0;"'NoneType' object is not subscriptable"
2;67915;67916;67914.0;"'NoneType' object is not subscriptable"
3;67918;67919;67917.0;"'NoneType' object is not subscriptable"
2;68131;68132;68130.0;"'NoneType' object is not subscriptable"
2;68257;68258;68256.0;"'NoneType' object is not subscriptable"
3;68260;68261;68259.0;"'NoneType' object is not subscriptable"
2;68371;68372;68370.0;"'NoneType' object is not subscriptable"
2;68491;68492;68490.0;"'NoneType' object is not subscriptable"
3;68494;68495;68493.0;"'NoneType' object is not subscriptable"
2;68677;68678;68676.0;"'NoneType' object is not subscriptable"
3;68680;68681;68679.0;"'NoneType' object is not subscriptable"
2;68749;68750;68748.0;"'NoneType' object is not subscriptable"
3;68752;68753;68751.0;"'NoneType' object is not subscriptable"
2;68827;68828;68826.0;"'NoneType' object is not subscriptable"
2;68941;68942;68940.0;"'NoneType' object is not subscriptable"
