"uuid";"unique_person_id";"role"
"7d60c9ef-8439-a59e-a88d-4bccbb5b1f8b";16;"[2, 3]"
"08b66439-8308-fe04-6ec7-0c123cffbb48";16;"[2, 3]"
"ddde28e3-2b38-ccd5-d510-ac032a17e741";17;"[2, 3]"
"d013f38b-6cde-484e-f07a-5e8eff8f9fc8";17;"[4]"
"29f1f076-6983-bd3e-5cfa-70fd191bb753";17;"[4]"
"f7158148-6616-00f7-f8ef-c13bd57add73";17;"[4]"
"82fcbdb9-36b3-4950-b928-08010e2d2ea4";17;"[4]"
"c130d4d3-ee95-130a-54bd-213e089d1dc2";17;"[4]"
"9b3e5388-7648-edbe-91d7-a374a28efcda";17;"[4]"
"d4a8752f-caf3-4083-3882-094e1347fbc9";17;"[4]"
"0ef646c6-ea0d-423e-c0e3-9f42930938a2";17;"[4]"
"893c4762-c659-cfcf-f33d-7fb25365a67b";17;"[4]"
"4ecf1d32-1087-3800-d900-03039e09dc5c";17;"[1]"
"afd6f3a0-890b-0a26-b601-e8ea13d5d2ae";17;"[2, 3]"
"81fe7649-84e4-3ac5-6493-335697ad09ec";17;"[2, 3]"
"da3c50d0-6cae-3c3e-a74c-ec867b32c1a7";17;"[2, 3]"
"160e5aa6-0d7e-e7b0-f65b-8043c8414021";18;"[2, 3]"
"d2cb8434-d9e3-ff8d-fb1d-570eb54fe18e";18;"[4]"
"a03e1cbf-ca9e-60a6-b6a1-4624303db7f7";18;"[4]"
"a1cbc2d4-1585-01a3-33da-5dab1e35d2ec";18;"[4]"
"7fbe7ce6-8808-2e2d-6bf4-88fd3005c0a8";18;"[4]"
"7de2fe18-e20f-5988-26f0-f20325b52fa8";18;"[4]"
"f7cbceec-024d-c8fb-2e63-193b96005194";18;"[4]"
"ba610061-86fe-0483-a786-eb4537996b18";18;"[4]"
"a1847b73-d791-a9f5-0e74-7f0c0c9c1208";18;"[4]"
"cd7e4d1e-47eb-d754-610b-13a43040e888";18;"[1]"
"686b5dbe-9359-6ce1-5de6-4988f8777373";19;"[2, 3]"
"e1c90bb2-5091-20fa-1deb-7b3d73a40a35";19;"[4]"
"5dfbbe5c-a041-dbbc-de6f-f586c2821692";19;"[4]"
"cc212fed-aadd-1030-919f-b9011085840e";19;"[4]"
"9dd43aac-d3a1-0f80-aac4-228d076736b4";19;"[4]"
"ad8ebb72-21e6-387c-4d64-6b5ec05190d7";19;"[4]"
"27f1cf7f-e277-7c16-8a44-5e42fed69b78";19;"[4]"
"1e294bcd-5491-eb85-7037-cb1527d351f7";19;"[4]"
