"parents_id";"partners_id";"groom";"father";"bride";"mother";"distance";"length partners";"length parents";"years_between"
11329;59839;359034;67975;359037;67976;0;25;25;39
11329;42532;255192;67978;255195;67979;0;29;29;31
8371;10761;64566;50230;64569;50231;0;29;29;23
19143;90264;541584;114862;541587;114863;3;30;29;39
24439;39393;236358;146638;236361;146639;0;28;28;25
24439;33769;202614;146635;202617;146636;0;29;29;24
86638;79231;475386;519832;475389;519833;2;31;30;39
89923;80729;484374;539542;484377;539543;2;31;32;40
89923;79773;478638;539539;478641;539540;0;28;28;26
16403;34105;204630;98422;204633;98423;2;43;43;27
26178;40925;245550;157069;245553;157070;2;35;34;36
26178;91563;549378;157072;549381;157073;0;31;31;32
58082;93144;558864;348496;558867;348497;0;32;32;32
27581;37494;224964;165487;224967;165488;1;38;38;33
95624;41764;250584;573748;250587;573749;3;35;36;38
10396;95917;575502;62377;575505;62378;2;35;34;34
10793;29192;175152;64759;175155;64760;0;33;33;27
95968;96013;576078;575809;576081;575810;0;36;36;31
83395;59895;359370;500374;359373;500375;0;27;27;36
85412;71176;427056;512476;427059;512477;2;37;38;36
71053;59597;357582;426319;357585;426320;0;33;33;32
75256;85089;510534;451540;510537;451541;0;41;41;23
89450;47540;285240;536701;285243;536702;0;34;34;29
94639;78975;473850;567838;473853;567839;3;39;41;32
80034;56054;336324;480205;336327;480206;3;30;31;28
11940;44401;266406;71644;266409;71645;1;36;36;27
68614;46217;277302;411688;277305;411689;2;41;41;39
42252;57259;343554;253516;343557;253517;0;38;38;33
42252;43324;259944;253513;259947;253514;1;31;31;30
45959;50281;301686;275755;301689;275756;2;35;35;39
45959;94117;564702;275758;564705;275759;0;32;32;36
63240;6356;38136;379441;38139;379442;0;36;36;31
63240;47540;285240;379444;285243;379445;0;34;34;29
96359;78445;470670;578158;470673;578159;1;38;37;23
45998;61606;369636;275989;369639;275990;0;22;22;35
69079;84445;506670;414478;506673;414479;0;28;28;35
74697;64403;386418;448183;386421;448184;1;30;29;33
10753;42131;252786;64519;252789;64520;0;28;28;36
16474;36410;218460;98845;218463;98846;2;34;34;29
29285;46217;277302;175714;277305;175715;2;41;41;39
31903;66894;401364;191419;401367;191420;0;37;37;31
49243;12163;72978;295459;72981;295460;2;34;33;28
50612;11151;66906;303676;66909;303677;3;41;42;40
70907;53223;319338;425443;319341;425444;1;25;25;27
87545;16558;99348;525274;99351;525275;0;40;40;31
88563;23593;141558;531379;141561;531380;2;24;24;30
88563;135;810;531382;813;531383;1;33;32;29
34494;78185;469110;206968;469113;206969;1;29;30;39
8636;18888;113328;51817;113331;51818;2;33;33;39
17520;21861;131166;105124;131169;105125;1;35;36;36
23520;73170;439020;141121;439023;141122;2;35;33;29
54161;12163;72978;324967;72981;324968;1;34;33;28
65286;54057;324342;391717;324345;391718;0;36;36;23
45673;59668;358008;274042;358011;274043;0;58;58;22
68151;56686;340116;408910;340119;408911;0;36;36;30
68151;44667;268002;408907;268005;408908;0;27;27;23
24488;14941;89646;146932;89649;146933;2;39;40;24
72226;80558;483348;433357;483351;433358;0;32;32;24
83712;11627;69762;502273;69765;502274;0;33;33;27
97914;21767;130602;587485;130605;587486;0;35;35;25
41302;90502;543012;247816;543015;247817;0;32;32;28
97517;20689;124134;585106;124137;585107;1;52;52;24
